order_id,order_date,customer_id,region,state,sku,product_name,category,sub_category,quantity,unit_cogs,unit_list_price,gross_revenue,coupon_code,discount_pct,discount_amount,net_revenue,shipping_fee_collected,actual_shipping_cost,payment_processing_fee,total_cogs,gross_profit,gross_margin_pct,return_status,return_reason,return_processing_cost,net_profit,net_margin_pct,margin_leakage_flag
ORD-000001,2023-11-01,CUST-03701,Central,IL,APP-303,Water-Resistant Trail Running Shoes,Apparel,Footwear,4,34.0,94.99,379.96,NONE,0.0,0.0,379.96,0.0,14.42,11.32,136.0,243.96,64.21,Completed,N/A,0.0,218.22,57.43,0
ORD-000002,2023-07-11,CUST-00693,West,OR,ELEC-103,Ultra-Fast USB-C Charging Hub,Electronics,Accessories,3,12.0,34.99,104.97,NONE,0.0,0.0,104.97,0.0,9.48,3.34,36.0,68.97,65.7,Completed,N/A,0.0,56.15,53.49,0
ORD-000003,2024-02-05,CUST-02945,West,WA,ELEC-102,Smart Fitness Watch V2,Electronics,Wearables,1,55.0,129.99,129.99,SAVE10,0.1,13.0,116.99,0.0,8.05,3.69,55.0,61.99,52.99,Returned,Not as Described,8.88,-28.87,-24.68,1
ORD-000004,2023-05-02,CUST-05389,East,NY,HOME-201,Stainless Steel Espresso Machine,Home & Kitchen,Appliances,1,85.0,189.99,189.99,NONE,0.0,0.0,189.99,0.0,17.9,5.81,85.0,104.99,55.26,Completed,N/A,0.0,81.28,42.78,0
ORD-000005,2023-10-10,CUST-00487,West,WA,BEAU-402,Sonic Electric Toothbrush Set,Beauty,Oral Care,1,20.0,54.99,54.99,FLASH25,0.25,13.75,41.24,5.99,8.49,1.5,20.0,21.24,51.5,Completed,N/A,0.0,17.24,41.8,0
ORD-000006,2023-07-26,CUST-01799,West,OR,APP-304,Heavyweight Cotton Pullover Hoodie,Apparel,Unisex,1,18.0,49.99,49.99,NONE,0.0,0.0,49.99,5.99,9.04,1.75,18.0,31.99,63.99,Returned,Changed Mind,9.55,-23.04,-46.09,1
ORD-000007,2023-12-28,CUST-05574,West,AZ,ELEC-103,Ultra-Fast USB-C Charging Hub,Electronics,Accessories,1,12.0,34.99,34.99,CLEARANCE40,0.4,14.0,20.99,5.99,8.16,0.91,12.0,8.99,42.83,Completed,N/A,0.0,5.91,28.16,0
ORD-000008,2023-09-21,CUST-02718,East,NJ,BEAU-402,Sonic Electric Toothbrush Set,Beauty,Oral Care,4,20.0,54.99,219.96,FLASH25,0.25,54.99,164.97,0.0,11.96,5.08,80.0,84.97,51.51,Completed,N/A,0.0,67.93,41.18,0
ORD-000009,2023-07-15,CUST-05274,West,CA,APP-303,Water-Resistant Trail Running Shoes,Apparel,Footwear,1,34.0,94.99,94.99,NONE,0.0,0.0,94.99,0.0,9.48,3.05,34.0,60.99,64.21,Completed,N/A,0.0,48.46,51.02,0
ORD-000010,2024-07-08,CUST-06383,East,VA,ELEC-105,4K HDR Streaming Media Stick,Electronics,Video,1,18.0,49.99,49.99,SAVE10,0.1,5.0,44.99,5.99,8.44,1.6,18.0,26.99,59.99,Completed,N/A,0.0,22.94,50.99,0
ORD-000011,2023-03-19,CUST-02547,East,MA,ELEC-103,Ultra-Fast USB-C Charging Hub,Electronics,Accessories,2,12.0,34.99,69.98,SAVE10,0.1,7.0,62.98,0.0,9.32,2.13,24.0,38.98,61.89,Completed,N/A,0.0,27.53,43.71,0
ORD-000012,2023-03-19,CUST-05857,West,NV,BEAU-404,Organic Retinol Night Cream 50ml,Beauty,Skincare,1,7.0,28.99,28.99,SUMMER15,0.15,4.35,24.64,5.99,7.94,1.01,7.0,17.64,71.59,Completed,N/A,0.0,14.68,59.58,0
ORD-000013,2024-05-23,CUST-01838,West,NV,ELEC-104,Mechanical RGB Gaming Keyboard,Electronics,Gaming,2,38.0,89.99,179.98,SAVE10,0.1,18.0,161.98,0.0,12.34,5.0,76.0,85.98,53.08,Completed,N/A,0.0,68.64,42.38,0
ORD-000014,2024-01-17,CUST-06047,Central,IL,BEAU-402,Sonic Electric Toothbrush Set,Beauty,Oral Care,1,20.0,54.99,54.99,FLASH25,0.25,13.75,41.24,5.99,7.49,1.5,20.0,21.24,51.5,Returned,Late Delivery,9.18,-21.17,-51.33,1
ORD-000015,2023-06-26,CUST-05117,West,AZ,ELEC-102,Smart Fitness Watch V2,Electronics,Wearables,2,55.0,129.99,259.98,SUMMER15,0.15,39.0,220.98,0.0,8.6,6.71,110.0,110.98,50.22,Completed,N/A,0.0,95.67,43.29,0
ORD-000016,2024-07-11,CUST-05353,East,VA,APP-302,Women's Seamless High-Waist Leggings,Apparel,Women's Clothing,1,12.0,38.99,38.99,SAVE10,0.1,3.9,35.09,5.99,8.66,1.32,12.0,23.09,65.8,Completed,N/A,0.0,19.1,54.43,0
ORD-000017,2024-05-06,CUST-06214,West,NV,ELEC-103,Ultra-Fast USB-C Charging Hub,Electronics,Accessories,1,12.0,34.99,34.99,SAVE10,0.1,3.5,31.49,5.99,8.16,1.21,12.0,19.49,61.89,Completed,N/A,0.0,16.11,51.16,0
ORD-000018,2024-06-12,CUST-03872,South,TN,HOME-203,Ergonomic Memory Foam Pillow,Home & Kitchen,Bedding,1,14.0,39.99,39.99,SUMMER15,0.15,6.0,33.99,5.99,9.64,1.29,14.0,19.99,58.81,Completed,N/A,0.0,15.05,44.28,0
ORD-000019,2024-10-28,CUST-05133,West,CA,BEAU-401,Vitamin C + Hyaluronic Acid Serum,Beauty,Skincare,1,5.5,24.99,24.99,NONE,0.0,0.0,24.99,5.99,7.83,1.02,5.5,19.49,77.99,Completed,N/A,0.0,16.63,66.55,0
ORD-000020,2023-11-04,CUST-05667,Central,OH,APP-305,Polarized UV400 Sport Sunglasses,Apparel,Accessories,1,6.5,29.99,29.99,CLEARANCE40,0.4,12.0,17.99,5.99,6.72,0.82,6.5,11.49,63.87,Completed,N/A,0.0,9.94,55.25,0
ORD-000021,2024-02-27,CUST-02516,East,VA,BEAU-404,Organic Retinol Night Cream 50ml,Beauty,Skincare,1,7.0,28.99,28.99,NONE,0.0,0.0,28.99,5.99,8.44,1.14,7.0,21.99,75.85,Completed,N/A,0.0,18.4,63.47,0
ORD-000022,2023-02-25,CUST-01189,East,VA,APP-302,Women's Seamless High-Waist Leggings,Apparel,Women's Clothing,1,12.0,38.99,38.99,SAVE10,0.1,3.9,35.09,5.99,8.66,1.32,12.0,23.09,65.8,Completed,N/A,0.0,19.1,54.43,0
ORD-000023,2024-05-31,CUST-02705,East,MA,ELEC-103,Ultra-Fast USB-C Charging Hub,Electronics,Accessories,2,12.0,34.99,69.98,SAVE10,0.1,7.0,62.98,0.0,9.32,2.13,24.0,38.98,61.89,Completed,N/A,0.0,27.53,43.71,0
ORD-000024,2023-10-24,CUST-03890,West,CA,APP-301,Men's Performance Athletic Joggers,Apparel,Men's Clothing,2,16.0,44.99,89.98,SUMMER15,0.15,13.5,76.48,0.0,9.26,2.52,32.0,44.48,58.16,Completed,N/A,0.0,32.7,42.76,0
ORD-000025,2023-09-06,CUST-01391,Central,TX,HOME-206,Ceramic Non-Stick Frying Pan 10-inch,Home & Kitchen,Cookware,1,15.0,34.99,34.99,NONE,0.0,0.0,34.99,5.99,8.92,1.31,15.0,19.99,57.13,Completed,N/A,0.0,15.75,45.01,0
ORD-000026,2023-12-31,CUST-03231,West,NV,APP-304,Heavyweight Cotton Pullover Hoodie,Apparel,Unisex,1,18.0,49.99,49.99,NONE,0.0,0.0,49.99,5.99,9.04,1.75,18.0,31.99,63.99,Returned,Size / Fit Issue,9.55,-23.04,-46.09,1
ORD-000027,2024-04-30,CUST-01671,East,NY,ELEC-104,Mechanical RGB Gaming Keyboard,Electronics,Gaming,1,38.0,89.99,89.99,FLASH25,0.25,22.5,67.49,0.0,10.42,2.26,38.0,29.49,43.7,Completed,N/A,0.0,16.81,24.91,0
ORD-000028,2024-03-26,CUST-04794,East,NJ,ELEC-101,Wireless Noise-Canceling Headphones,Electronics,Audio,1,45.0,99.99,99.99,FLASH25,0.25,25.0,74.99,0.0,8.88,2.47,45.0,29.99,39.99,Completed,N/A,0.0,18.64,24.86,0
